locality,canton
Rüeggisberg,Berne
Rüegsau,Berne
Rüegsauschachen,Berne
Rüegsbach,Berne
Rüfenacht BE,Berne
Rümligen,Berne
Rüschegg Gambach,Berne
Rüschegg Heubach,Berne
Rüti b. Büren,Berne
Rüti b. Lyssach,Berne
Rüti b. Riggisberg,Berne
Rütschelen,Berne
Saanen,Berne
Saanenmöser,Berne
Safnern,Berne
Saicourt,Berne
Sangernboden,Berne
Saules BE,Berne
Saxeten,Berne
Schafhausen im Emmental,Berne
Schalunen,Berne
Schangnau,Berne
Scharnachtal,Berne
Schattenhalb,Berne
Schelten,Berne
Scheunen,Berne
Scheuren,Berne
Schliern b. Köniz,Berne
Schlosswil,Berne
Schmidigen-Mühleweg,Berne
Schwadernau,Berne
Schwanden (Sigriswil),Berne
Schwanden b. Brienz,Berne
Schwanden im Emmental,Berne
Schwarzenbach (Huttwil),Berne
Schwarzenburg,Berne
Schwarzenegg,Berne
Schwarzhäusern,Berne
Schwenden im Diemtigtal,Berne
Schwendibach,Berne
Schönried,Berne
Schüpbach,Berne
Schüpfen,Berne
Seeberg,Berne
Seedorf BE,Berne
Seehof,Berne
Seewil,Berne
Seftigen,Berne
Signau,Berne
Sigriswil,Berne
Siselen BE,Berne
Sonceboz-Sombeval,Berne
Sonvilier,Berne
Sornetan,Berne
Sorvilier,Berne
Souboz,Berne
Spiegel b. Bern,Berne
Spiez,Berne
St-Imier,Berne
St. Stephan,Berne
Stechelberg,Berne
Steffisburg,Berne
Stettlen,Berne
Studen BE,Berne
Suberg,Berne
Sumiswald,Berne
Sundlauenen,Berne
Sutz,Berne
Säriswil,Berne
Süderen,Berne
Tavannes,Berne
Teuffenthal b. Thun,Berne
Thierachern,Berne
Thun,Berne
Thunstetten,Berne
Thörigen,Berne
Thörishaus,Berne
Toffen,Berne
Trachselwald,Berne
Tramelan,Berne
Treiten,Berne
Trimstein,Berne
Trub,Berne
Trubschachen,Berne
Tschingel ob Gunten,Berne
Tschugg,Berne
Turbach,Berne
Twann,Berne
Tägertschi,Berne
Täuffelen,Berne
Tüscherz-Alfermée,Berne
Uebeschi,Berne
Uetendorf,Berne
Uettligen,Berne
Unterbach BE,Berne
Unterlangenegg,Berne
Unterseen,Berne
Untersteckholz,Berne
Ursenbach,Berne
Urtenen-Schönbühl,Berne
Uttigen,Berne
Utzenstorf,Berne
Utzigen,Berne
Vauffelin,Berne
Vielbringen b. Worb,Berne
Villeret,Berne
Vinelz,Berne
Wabern,Berne
Wahlendorf,Berne
Walkringen,Berne
Walliswil b. Niederbipp,Berne
Walliswil b. Wangen,Berne
Walperswil,Berne
Walterswil BE,Berne
Wangen an der Aare,Berne
Wangenried,Berne
Wanzwil,Berne
Wasen im Emmental,Berne
Wattenwil,Berne
Weier im Emmental,Berne
Weissenburg,Berne
Wengen,Berne
Wengi b. Büren,Berne
Wengi b. Frutigen,Berne
Wichtrach,Berne
Wiedlisbach,Berne
Wiggiswil,Berne
Wilderswil,Berne
Wiler b. Seedorf,Berne
Wiler b. Utzenstorf,Berne
Wileroltigen,Berne
Willadingen,Berne
Wimmis,Berne
Wohlen b. Bern,Berne
Wolfisberg,Berne
Worb,Berne
Worben,Berne
Worblaufen,Berne
Wynau,Berne
Wynigen,Berne
Wyssachen,Berne
Zauggenried,Berne
Zielebach,Berne
Zimmerwald,Berne
Zollbrück,Berne
Zollikofen,Berne
Zuzwil BE,Berne
Zweilütschinen,Berne
Zweisimmen,Berne
Zwieselberg,Berne
Zwischenflüh,Berne
Zäziwil,Berne
Aesch BL,Bâle-Campagne
Allschwil,Bâle-Campagne
Anwil,Bâle-Campagne
Arboldswil,Bâle-Campagne
Arisdorf,Bâle-Campagne
Arlesheim,Bâle-Campagne
Augst BL,Bâle-Campagne
Basel,Bâle-Campagne
Beinwil SO,Bâle-Campagne
Bennwil,Bâle-Campagne
Biel-Benken BL,Bâle-Campagne
Binningen,Bâle-Campagne
Birsfelden,Bâle-Campagne
Blauen,Bâle-Campagne
Bottmingen,Bâle-Campagne
Bretzwil,Bâle-Campagne
Brislach,Bâle-Campagne
Bruderholz,Bâle-Campagne
Bubendorf,Bâle-Campagne
Buckten,Bâle-Campagne
Burg im Leimental,Bâle-Campagne
Buus,Bâle-Campagne
Bärschwil,Bâle-Campagne
Böckten,Bâle-Campagne
Diegten,Bâle-Campagne
Diepflingen,Bâle-Campagne
Dittingen,Bâle-Campagne
Duggingen,Bâle-Campagne
Eptingen,Bâle-Campagne
Ettingen,Bâle-Campagne
Frenkendorf,Bâle-Campagne
Füllinsdorf,Bâle-Campagne
Gelterkinden,Bâle-Campagne
Giebenach,Bâle-Campagne
Grellingen,Bâle-Campagne
Hellikon,Bâle-Campagne
Hemmiken,Bâle-Campagne
Hersberg,Bâle-Campagne
Häfelfingen,Bâle-Campagne
Hölstein,Bâle-Campagne
Itingen,Bâle-Campagne
Kaiseraugst,Bâle-Campagne
Kilchberg BL,Bâle-Campagne
Kleinlützel,Bâle-Campagne
Känerkinden,Bâle-Campagne
Lampenberg,Bâle-Campagne
Langenbruck,Bâle-Campagne
Laufen,Bâle-Campagne
Lausen,Bâle-Campagne
Lauwil,Bâle-Campagne
Liedertswil,Bâle-Campagne
Liesberg,Bâle-Campagne
Liesberg Dorf,Bâle-Campagne
Liestal,Bâle-Campagne
Lupsingen,Bâle-Campagne
Läufelfingen,Bâle-Campagne
Maisprach,Bâle-Campagne
Muttenz,Bâle-Campagne
Münchenstein,Bâle-Campagne
Nenzlingen,Bâle-Campagne
Niederdorf,Bâle-Campagne
Nuglar,Bâle-Campagne
Nusshof,Bâle-Campagne
Oberdorf BL,Bâle-Campagne
Oberwil BL,Bâle-Campagne
Olsberg,Bâle-Campagne
Oltingen,Bâle-Campagne
Ormalingen,Bâle-Campagne
Pfeffingen,Bâle-Campagne
Pratteln,Bâle-Campagne
Ramiswil,Bâle-Campagne
Ramlinsburg,Bâle-Campagne
Reigoldswil,Bâle-Campagne
Reinach BL,Bâle-Campagne
Rickenbach BL,Bâle-Campagne
Roggenburg,Bâle-Campagne
Rothenfluh,Bâle-Campagne
Röschenz,Bâle-Campagne
Rümlingen,Bâle-Campagne
Rünenberg,Bâle-Campagne
Schönenbuch,Bâle-Campagne
Seltisberg,Bâle-Campagne
Sissach,Bâle-Campagne
Tecknau,Bâle-Campagne
Tenniken,Bâle-Campagne
Therwil,Bâle-Campagne
Thürnen,Bâle-Campagne
Titterten,Bâle-Campagne
Wahlen b. Laufen,Bâle-Campagne
Waldenburg,Bâle-Campagne
Wenslingen,Bâle-Campagne
